Year,Rural,Urban,IDP
2015,1474468,2429558,1002493
2016,1942429,2068981,984746
2017,3082955,2101533,923329
2018,1328125,1431528,772500
2019,2826136,1416812,996185
2020,1668499,1799307,1014365
2021,2818790,2391440,887361
2022,4516140,2238090,904810
2023,5597660,1070080,835305
